fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.0,0.01,0.00743,0.93468,0.00029,3.21558,0.59493,7.12562,0.63123,1.42923,0.0125,0.60637,0.43617,0.0,0.10713,0.57861,0.0,0.0,0.0,0.53649,0.9541,0.0,0.0
0.0,0.01057,0.00764,0.93709,0.00033,2.64586,0.95,6.93067,0.49307,1.80742,0.01707,0.50178,0.38333,0.0,0.11399,0.52087,0.0,0.0,0.0,0.52682,0.82725,0.0,0.0
0.0,0.00995,0.01,0.937,0.0005,2.99072,0.79902,7.56529,0.4989,1.5058,0.015,0.70112,0.39811,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.99968,0.0,0.0
0.0,0.0101,0.00845,0.9195,0.00043,3.17928,0.86408,8.84786,0.57004,1.35905,0.01138,0.48477,0.48055,0.0,0.12338,0.69443,0.0,0.0,0.0,0.39415,1.0,0.0,0.0
0.0,0.01024,0.00764,0.95049,0.00033,2.81193,0.89167,7.67476,0.4563,2.12663,0.01855,0.60092,0.39631,0.0,0.11446,0.53084,0.0,0.0,0.0,0.46793,1.0,0.0,0.0
0.0,0.01102,0.00806,0.93709,0.00032,2.59211,0.95,6.93067,0.49315,1.80742,0.01707,0.49771,0.43603,0.0,0.12816,0.52087,0.0,0.0,0.0,0.45311,0.82725,0.0,0.0
0.0,0.00967,0.009,0.89486,0.00045,3.14245,0.89411,8.30436,0.58342,1.25597,0.01412,0.71246,0.41828,0.0,0.09336,0.69443,0.0,0.0,0.0,0.36348,1.0,0.0,0.0
0.0,0.00807,0.00952,0.8829,0.0005,2.44239,0.8,6.45642,0.40088,1.49755,0.01846,0.555,0.27668,0.0,0.12493,0.5,0.0,0.0,0.0,0.39595,1.0,0.0,0.0
0.0,0.00995,0.00733,0.92577,0.0004,2.64421,0.90837,8.86546,0.5165,1.58613,0.015,0.70187,0.39811,0.0,0.09549,0.49735,0.0,0.0,0.0,0.49023,1.0,0.0,0.0
0.0,0.00711,0.00762,0.97441,0.0005,2.4029,0.46197,6.31877,0.54515,1.86413,0.00792,0.7,0.4,0.0,0.09532,0.5,0.0,0.0,0.0,0.43194,1.0,0.0,0.0
0.0,0.01164,0.01062,0.98,0.00042,2.07347,0.95,7.03741,0.57981,1.5611,0.01401,0.41563,0.38462,0.0,0.1174,0.57322,0.0,0.0,0.0,0.36992,0.88688,0.0,0.0
0.0,0.01014,0.00806,0.93717,0.00034,2.40006,0.95,7.49065,0.46904,1.80742,0.01996,0.49771,0.43603,0.0,0.13415,0.34693,0.0,0.0,0.0,0.4352,0.81677,0.0,0.0
0.0,0.00711,0.00768,0.97324,0.0005,2.38782,0.49211,6.1434,0.5501,1.8754,0.00792,0.7,0.39937,0.0,0.09532,0.51791,0.0,0.0,0.0,0.43729,0.97055,0.0,0.0
0.0,0.0102,0.01,0.9273,0.00038,2.50929,0.69437,7.38924,0.50062,1.14271,0.0155,0.84873,0.36209,0.0,0.12483,0.50836,0.0,0.0,0.0,0.44207,1.0,0.0,0.0
